1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1,1,7,1,6,1,8,1,1,0,0,0,0,0,0,1,1,1,1,0
1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,8,8,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,8,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,1,1,0
0,0,0,0,5,0,0,0,0,0,5,5,5,5,5,5,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,2,2,2,2,0,0,5,0,0,0,2,2,2,2,2,2,2
4,4,4,4,4,4,4,1,1,0,0,1,1,4,4,4,4,4,4,4
4,4,4,4,4,4,4,8,1,0,0,1,11,4,4,4,4,4,4,4
4,4,4,4,4,4,4,1,1,0,0,1,1,4,4,4,4,4,4,4
3,3,3,3,3,3,3,0,0,0,0,5,0,3,3,3,3,3,3,3
0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,1,1,1,1
0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,1,9,10,1
0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
0,1,11,11,1,0,0,0,0,0,0,0,0,0,0,0,1,11,1,1
0,1,11,11,1,5,0,0,0,0,0,0,0,0,0,0,1,1,1,1
0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
